# Time(sec) X(nm) Y(nm) Z(nm) Bead-ID
1.749060918496211767e+09 9.910573673723878528e+03 9.955482553629017275e+03 5.218847431150564807e+04 0.000000000000000000e+00
1.749060918496211767e+09 1.053751574218340647e+04 1.045606464806996519e+04 5.145782982379012537e+04 1.000000000000000000e+00
1.749060918496211767e+09 9.987402973271782685e+03 1.007442108783893127e+04 5.217133872556999268e+04 2.000000000000000000e+00
1.749060918552421093e+09 9.908898354524217211e+03 9.954513728555897615e+03 5.218755210554077348e+04 0.000000000000000000e+00
1.749060918552421093e+09 1.053920445635113356e+04 1.041761354665804538e+04 5.152883333293861506e+04 1.000000000000000000e+00
1.749060918552421093e+09 9.962699874373663988e+03 1.009367398878534732e+04 5.217295988669234794e+04 2.000000000000000000e+00
1.749060918608630657e+09 9.908111725412360101e+03 9.952477195211233266e+03 5.218999904441267427e+04 0.000000000000000000e+00
1.749060918608630657e+09 1.061231726041727234e+04 1.039789919111281051e+04 5.143283665007210948e+04 1.000000000000000000e+00
1.749060918608630657e+09 9.964789612333646801e+03 1.005843327882372432e+04 5.217713841547185439e+04 2.000000000000000000e+00
1.749060918664840221e+09 9.909921883332675861e+03 9.956657264234801914e+03 5.218957603408073192e+04 0.000000000000000000e+00
1.749060918664840221e+09 1.074024786286222661e+04 1.024807979312035604e+04 5.140382618279401504e+04 1.000000000000000000e+00
1.749060918664840221e+09 9.960913393443119276e+03 1.003491089793778156e+04 5.217598264344295603e+04 2.000000000000000000e+00
1.749060918721049786e+09 9.909402812536502097e+03 9.957381575218279977e+03 5.218936527587030287e+04 0.000000000000000000e+00
1.749060918721049786e+09 1.074153350104891251e+04 1.056790670489153308e+04 5.128063215492113522e+04 1.000000000000000000e+00
1.749060918721049786e+09 9.968929079906094557e+03 1.003708626661028757e+04 5.217427559996420314e+04 2.000000000000000000e+00
1.749060918777259350e+09 9.910491403624022496e+03 9.957596253244784748e+03 5.218813808714670449e+04 0.000000000000000000e+00
1.749060918777259350e+09 1.061538327696395572e+04 1.056535198016034519e+04 5.139615987207346188e+04 1.000000000000000000e+00
1.749060918777259350e+09 9.980637730757393001e+03 1.005608921840641415e+04 5.217078439694682311e+04 2.000000000000000000e+00
1.749060918833468676e+09 9.910461940262353892e+03 9.958480321187180380e+03 5.218724855676198058e+04 0.000000000000000000e+00
1.749060918833468676e+09 1.052571657865926500e+04 1.049331265711555534e+04 5.139574759664198064e+04 1.000000000000000000e+00
1.749060918833468676e+09 9.956808076915900529e+03 1.005479710657595388e+04 5.217432914707225427e+04 2.000000000000000000e+00
1.749060918889678240e+09 9.909536696701245091e+03 9.952783295377299510e+03 5.218969133639484062e+04 0.000000000000000000e+00
1.749060918889678240e+09 1.053960100074901311e+04 1.035133085569555442e+04 5.146919760518549447e+04 1.000000000000000000e+00
1.749060918889678240e+09 9.971582491510411273e+03 1.006047888691233311e+04 5.217400181880806485e+04 2.000000000000000000e+00
1.749060918945887804e+09 9.908251364890245895e+03 9.954891646712885631e+03 5.219121738477661711e+04 0.000000000000000000e+00
1.749060918945887804e+09 1.056330285563643156e+04 1.026936873681685756e+04 5.151695595479223266e+04 1.000000000000000000e+00
1.749060918945887804e+09 1.000349374440410429e+04 1.007863366924223010e+04 5.216980465024572186e+04 2.000000000000000000e+00
